,QRef,Mean,Min,Max,Count,Avg
4118,307MUSQ9,0.732620320855615,0,5,187,0.14652406417112301
4119,307SPOQ1,0.46318289786223277,0,2,421,0.23159144893111638
4120,307SPOQ10,0.1750841750841751,0,2,297,0.08754208754208755
4121,307SPOQ2,0.5236768802228412,0,2,359,0.2618384401114206
4122,307SPOQ3,0.8969359331476323,0,1,359,0.8969359331476323
4123,307SPOQ4,0.2562674094707521,0,1,359,0.2562674094707521
4124,307SPOQ5,0.40668523676880225,0,1,359,0.40668523676880225
4125,307SPOQ6,0.6183844011142061,0,1,359,0.6183844011142061
4126,307SPOQ7,0.7604456824512534,0,1,359,0.7604456824512534
4127,307SPOQ8,0.4958217270194986,0,1,359,0.4958217270194986
4128,307SPOQ9,0.7214484679665738,0,1,359,0.7214484679665738
4129,308FILQ1,0.5942857142857143,0,1,175,0.5942857142857143
4130,308FILQ10,0.9281045751633987,0,1,153,0.9281045751633987
4131,308FILQ2,0.6646341463414634,0,2,164,0.3323170731707317
4132,308FILQ3,0.6219512195121951,0,1,164,0.6219512195121951
4133,308FILQ4,0.5365853658536586,0,1,164,0.5365853658536586
4134,308FILQ5,0.823170731707317,0,1,164,0.823170731707317
4135,308FILQ6,0.9451219512195121,0,1,164,0.9451219512195121
4136,308FILQ7,0.6402439024390244,0,1,164,0.6402439024390244
4137,308FILQ8,0.7317073170731707,0,1,164,0.7317073170731707
4138,308FILQ9,0.7012195121951219,0,1,164,0.7012195121951219
4139,308GRAQ1,0.6583333333333333,0,1,120,0.6583333333333333
4140,308GRAQ10,0.85,0,1,100,0.85
4141,308GRAQ2,0.07272727272727272,0,1,110,0.07272727272727272
4142,308GRAQ3,0.6545454545454545,0,1,110,0.6545454545454545
4143,308GRAQ4,0.7,0,1,110,0.7
4144,308GRAQ5,0.6454545454545455,0,2,110,0.32272727272727275
4145,308GRAQ6,0.8181818181818182,0,2,110,0.4090909090909091
4146,308GRAQ7,0.4727272727272727,0,1,110,0.4727272727272727
4147,308GRAQ8,0.4727272727272727,0,1,110,0.4727272727272727
4148,308GRAQ9,0.7454545454545455,0,1,110,0.7454545454545455
4149,308MUSQ1,0.49387755102040815,0,1,245,0.49387755102040815
4150,308MUSQ10,0.7134502923976608,0,1,171,0.7134502923976608
4151,308MUSQ2,0.8942307692307693,0,1,208,0.8942307692307693
4152,308MUSQ3,0.5288461538461539,0,1,208,0.5288461538461539
4153,308MUSQ4,0.6586538461538461,0,1,208,0.6586538461538461
4154,308MUSQ5,0.6105769230769231,0,1,208,0.6105769230769231
4155,308MUSQ6,0.7019230769230769,0,1,208,0.7019230769230769
4156,308MUSQ7,0.8221153846153846,0,1,208,0.8221153846153846
4157,308MUSQ8,0.6057692307692307,0,1,208,0.6057692307692307
4158,308MUSQ9,0.44711538461538464,0,1,208,0.44711538461538464
4159,308SCIQ1,0.7975460122699386,0,1,163,0.7975460122699386
4160,308SCIQ10,0.9572649572649573,0,1,117,0.9572649572649573
4161,308SCIQ2,0.3142857142857143,0,1,140,0.3142857142857143
4162,308SCIQ3,0.8642857142857143,0,1,140,0.8642857142857143
4163,308SCIQ4,0.4714285714285714,0,1,140,0.4714285714285714
